Links,Title,Address,Price,Floor,Living area,Rooms
https://www.otodom.pl/pl/oferta/4-pokoje-balkon-umeblowane-po-remoncie-ID4xYaf,✩ 4 pokoje ✩ BALKON ✩ umeblowane ✩ PO REMONCIE ✩,"os. Piastów, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",728000.0,3 piętro,47.36,4 pokoje
https://www.otodom.pl/pl/oferta/aktualne-3-pokoje-mlyny-mogilska-gotowe-parking-ID4xY8o,Aktualne 3 Pokoje Młyny Mogilska Gotowe Parking,"Stare Miasto, Stare Miasto, Kraków, małopolskie",1150000.0,3 piętro,56.0,3 pokoje
https://www.otodom.pl/pl/oferta/2-pokoje-42-m2-krakow-zablocie-ID4xY8n,2 pokoje 42 m2 | Kraków | Zabłocie,"ul. gen. Henryka Dąbrowskiego, Stare Podgórze, Podgórze, Kraków, małopolskie",880000.0,1 piętro,42.0,2 pokoje
https://www.otodom.pl/pl/oferta/atrakcyjny-apartament-niska-cena-5-pokoi-ID4xY7U,Atrakcyjny apartament/niska cena/5 pokoi/,"ul. Sowia, Łagiewniki, Łagiewniki-Borek Fałęcki, Kraków, małopolskie",1640160.0,parter,107.2,5 pokoi
https://www.otodom.pl/pl/oferta/do-remontu-z-duzym-potencjalem-ID4xY4z,Do remontu z dużym potencjałem,"os. Krakowiaków, Nowa Huta, Nowa Huta, Kraków, małopolskie",719000.0,1 piętro,63.63,3 pokoje
https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-w-doskonalej-lokalizacji-ID4xY3g,Mieszkanie 3-pokojowe w doskonałej lokalizacji,"ul. Macieja Miechowity, Olsza, Prądnik Czerwony, Kraków, małopolskie",616000.0,3 piętro,44.0,3 pokoje
https://www.otodom.pl/pl/oferta/mieszkanie-37-12-m-krakow-ID4xY2L,"Mieszkanie, 37,12 m², Kraków","os. Szkolne, Nowa Huta, Nowa Huta, Kraków, małopolskie",445000.0,parter,37.12,1 pokój
https://www.otodom.pl/pl/oferta/lokal-biurowy-przy-rondzie-mogilskim-ID4xY2h,Lokal biurowy przy Rondzie Mogilskim,"ul. Mogilska, Grzegórzki, Grzegórzki, Kraków, małopolskie",1560000.0,1 piętro,74.0,2 pokoje
https://www.otodom.pl/pl/oferta/dla-rodziny-lub-pod-inwestycje-ID4xY1Y,Dla rodziny lub pod inwestycję,"ul. Strzelców, Prądnik Czerwony, Prądnik Czerwony, Kraków, małopolskie",890000.0,4 piętro,65.2,4 pokoje
https://www.otodom.pl/pl/oferta/3-pokoje-stare-miasto-portier-winda-garaz-ID4xY1B,3 Pokoje - Stare Miasto - Portier - Winda - Garaż,"ul. Krowoderska, Kleparz, Stare Miasto, Kraków, małopolskie",1050000.0,3 piętro,55.0,3 pokoje
https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-blisko-wisly-dabie-ID4xY0Z,2-pokojowe mieszkanie blisko Wisły - Dąbie!,"Dąbie, Grzegórzki, Kraków, małopolskie",582000.0,2 piętro,37.0,2 pokoje
https://www.otodom.pl/pl/oferta/przestronne-sloneczne-3-pokojowe-osobna-kuchnia-loggia-pradnik-bialy-ID4xXZI,"Przestronne, słoneczne 3 pokojowe,osobna kuchnia,loggia, Prądnik Biały","Prądnik Biały, Prądnik Biały, Kraków, małopolskie",730000.0,5 piętro,58.0,3 pokoje
